Autophagy_related_gene_symbol	ID	Correlation_coefficient	P-value	Host_gene of circRNA	CircRNA_chromosomal_position (hg19)	Mean_expression	Log2FoldChange	FDR	Change	circbaseID
ITGB4	circ_109885	0.707896466	3.39E-23	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
RPTOR	circ_109885	0.585661	1.26E-14	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
HGS	circ_109885	0.481930702	9.61E-10	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
WDR45B	circ_109885	0.400238847	6.68E-07	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
NPC1	circ_109885	0.308270365	0.000170613	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
PIK3C3	circ_109885	0.344484418	2.36E-05	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
BCL2	circ_109885	0.496402962	2.49E-10	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
MAP1LC3A	circ_109885	0.428873978	8.18E-08	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
TP53INP2	circ_109885	0.448018907	1.79E-08	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
RGS19	circ_109885	0.411260012	3.05E-07	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
STK11	circ_109885	0.503498898	1.26E-10	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
MAP2K7	circ_109885	0.508341001	7.80E-11	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
ATG4D	circ_109885	0.455304125	9.83E-09	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
CAPNS1	circ_109885	0.317724085	0.000104241	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
SIRT2	circ_109885	0.423602452	1.22E-07	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
PPP1R15A	circ_109885	0.389802829	1.37E-06	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
APOL1	circ_109885	0.409850156	3.37E-07	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
ATF4	circ_109885	0.430655454	7.13E-08	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
ARSA	circ_109885	0.34069984	2.93E-05	TMTC2	chr12:83250788-83251359	0.859864047	-1.137859624	0.003199016	Down	hsa_circ_0002886
PEX14	circ_13718	0.427408068	9.15E-08	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
PINK1	circ_13718	0.35661282	1.15E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
SESN2	circ_13718	0.521805089	1.99E-11	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
DIRAS3	circ_13718	0.399828601	6.88E-07	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
ARNT	circ_13718	0.304194098	0.000209933	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CFLAR	circ_13718	0.394025603	1.03E-06	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CAPN10	circ_13718	0.315130606	0.000119523	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
ATG4B	circ_13718	0.305910614	0.000192448	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
MTMR14	circ_13718	0.330638524	5.18E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
SQSTM1	circ_13718	0.501940398	1.46E-10	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
MBTPS2	circ_13718	-0.389655433	1.38E-06	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
HDAC6	circ_13718	0.308523713	0.000168411	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CTSB	circ_13718	0.528886893	9.48E-12	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
DLC1	circ_13718	0.396153289	8.88E-07	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
PRKCQ	circ_13718	0.322765207	7.96E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CTSD	circ_13718	0.345481633	2.23E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CAPN1	circ_13718	0.425712433	1.04E-07	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
FADD	circ_13718	0.328145116	5.94E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
ATG16L2	circ_13718	0.40097216	6.35E-07	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CASP1	circ_13718	0.417485219	1.93E-07	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
GABARAPL1	circ_13718	0.301976894	0.000234706	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
DRAM1	circ_13718	0.309127723	0.000163268	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
HSPB8	circ_13718	0.479868211	1.16E-09	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
LAMP1	circ_13718	0.323724765	7.56E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
ZFYVE1	circ_13718	0.368981917	5.34E-06	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
DAPK2	circ_13718	0.347506597	1.98E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
MAPK3	circ_13718	0.517078913	3.24E-11	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CX3CL1	circ_13718	0.47877137	1.28E-09	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CALCOCO2	circ_13718	0.344608978	2.34E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
ITGA3	circ_13718	0.509177087	7.18E-11	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
ITGB4	circ_13718	0.506513057	9.35E-11	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
RPTOR	circ_13718	0.359503651	9.63E-06	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
HGS	circ_13718	0.33795805	3.43E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
RGS19	circ_13718	0.424039904	1.18E-07	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
STK11	circ_13718	0.344589959	2.34E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
CAPNS1	circ_13718	0.31029785	0.000153718	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
SIRT2	circ_13718	0.355033666	1.26E-05	FGD6	chr12:95602618-95605043	2.366985884	-1.474238382	2.71E-06	Down	hsa_circ_0099549
HDAC1	circ_65213	-0.373419846	4.03E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
SH3GLB1	circ_65213	0.355577785	1.22E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
PEA15	circ_65213	0.442751008	2.75E-08	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
EIF2AK3	circ_65213	-0.379223377	2.77E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
NFE2L2	circ_65213	0.318323678	0.000100978	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ATG16L1	circ_65213	-0.316996127	0.000108335	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
CAPN10	circ_65213	-0.373618228	3.98E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ATG4B	circ_65213	-0.342884065	2.59E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
MTMR14	circ_65213	-0.300845406	0.000248369	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
RAB7A	circ_65213	0.304393757	0.000207826	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
EIF4G1	circ_65213	-0.390421119	1.31E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
BNIP1	circ_65213	-0.414488968	2.41E-07	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
RACK1	circ_65213	-0.488790992	5.11E-10	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
HSP90AB1	circ_65213	-0.415003608	2.32E-07	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
WDR45	circ_65213	-0.314534822	0.000123317	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ATG4A	circ_65213	-0.324380225	7.30E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
TUSC1	circ_65213	-0.356329593	1.17E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ATG13	circ_65213	-0.344575532	2.35E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ATG2A	circ_65213	-0.355299907	1.24E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
RELA	circ_65213	-0.304623387	0.000205427	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
HSPA8	circ_65213	-0.375025232	3.63E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
DRAM1	circ_65213	0.325238753	6.96E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
HSPB8	circ_65213	0.446698455	2.00E-08	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
FOXO1	circ_65213	0.401534166	6.10E-07	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
LAMP1	circ_65213	-0.350391701	1.67E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
TM9SF1	circ_65213	-0.366189077	6.37E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
SERPINA1	circ_65213	0.388365634	1.51E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
RAB11A	circ_65213	-0.350416683	1.66E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ULK3	circ_65213	-0.466751125	3.71E-09	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
TSC2	circ_65213	-0.352956102	1.43E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
MLST8	circ_65213	-0.433663318	5.65E-08	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
PELP1	circ_65213	-0.351776796	1.54E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
GAA	circ_65213	-0.338254081	3.37E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
HGS	circ_65213	-0.36029488	9.17E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
P4HB	circ_65213	-0.436565249	4.50E-08	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
WDR45B	circ_65213	-0.356187064	1.18E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
STK11	circ_65213	-0.361211217	8.67E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
EEF2	circ_65213	-0.462471132	5.36E-09	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
MAP2K7	circ_65213	-0.305085315	0.000200678	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ATG4D	circ_65213	-0.438381762	3.90E-08	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
SIRT2	circ_65213	-0.368114745	5.64E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
BAX	circ_65213	-0.339474791	3.15E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ATF4	circ_65213	-0.347252566	2.01E-05	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
ARSA	circ_65213	-0.39320313	1.09E-06	CORO1C	chr12:109046047-109048186	6.063197621	-1.322295844	0.001341118	Down	hsa_circ_0000437
VAMP3	circ_158305	-0.304187344	0.000210005	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
MTOR	circ_158305	0.319115243	9.68E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
DIRAS3	circ_158305	-0.305708411	0.000194435	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
ARNT	circ_158305	-0.340126859	3.03E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
NFE2L2	circ_158305	-0.375084074	3.62E-06	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
ITPR1	circ_158305	-0.300315548	0.000255018	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
TP63	circ_158305	-0.303104812	0.000221783	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
ATG5	circ_158305	-0.321865594	8.36E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
GOPC	circ_158305	-0.323622141	7.60E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
BNIP3L	circ_158305	-0.303096752	0.000221873	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
PRKCQ	circ_158305	-0.353880388	1.35E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
ITGB1	circ_158305	-0.300559793	0.000251933	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
BNIP3	circ_158305	0.351570223	1.55E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
CASP4	circ_158305	-0.329119881	5.63E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
CASP1	circ_158305	-0.326078422	6.65E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
CAMKK2	circ_158305	0.661876297	1.69E-19	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
APOL1	circ_158305	-0.337299984	3.56E-05	CAMKK2	chr12:121706440-121708748	0.583735895	6.562210737	7.78E-07	Up	hsa_circ_0004756
DIRAS3	circ_115477	0.381047018	2.46E-06	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
ATF6	circ_115477	0.300000067	0.000259054	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
TP63	circ_115477	0.494799008	2.90E-10	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
NAF1	circ_115477	0.331098729	5.05E-05	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
GOPC	circ_115477	0.304413064	0.000207623	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
BAG1	circ_115477	0.388434546	1.50E-06	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
MAPK8	circ_115477	0.368319966	5.57E-06	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
CASP1	circ_115477	0.335250351	4.00E-05	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
CAMKK2	circ_115477	-0.31944643	9.51E-05	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
FOXO1	circ_115477	0.354173426	1.33E-05	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
CX3CL1	circ_115477	0.307014667	0.000181927	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
ITGA3	circ_115477	0.330397096	5.25E-05	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
VMP1	circ_115477	0.300294098	0.00025529	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
ITGB4	circ_115477	0.377113161	3.18E-06	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
BCL2	circ_115477	0.377388605	3.12E-06	HPS5	chr11:18312988-18314523	1.558672943	-1.197228345	0.002912969	Down	hsa_circ_0000280
HDAC1	circ_14815	0.443590364	2.57E-08	LUZP2	chr11:24927536-25004839	2.470856236	2.628778171	0.010363785	Up	hsa_circ_0095637
PEA15	circ_14815	-0.31083196	0.000149534	LUZP2	chr11:24927536-25004839	2.470856236	2.628778171	0.010363785	Up	hsa_circ_0095637
PRKCD	circ_14815	-0.306726036	0.000184625	LUZP2	chr11:24927536-25004839	2.470856236	2.628778171	0.010363785	Up	hsa_circ_0095637
EGFR	circ_14815	-0.372367236	4.31E-06	LUZP2	chr11:24927536-25004839	2.470856236	2.628778171	0.010363785	Up	hsa_circ_0095637
RAB11A	circ_14815	0.388089819	1.54E-06	LUZP2	chr11:24927536-25004839	2.470856236	2.628778171	0.010363785	Up	hsa_circ_0095637
CHMP4B	circ_14815	-0.337233313	3.58E-05	LUZP2	chr11:24927536-25004839	2.470856236	2.628778171	0.010363785	Up	hsa_circ_0095637
HDAC1	circ_91867	-0.317304154	0.000106585	QSER1	chr11:32948702-32956981	1.041983892	-2.088225454	0.023826401	Down	hsa_circ_0021570
TUSC1	circ_91867	-0.329455916	5.53E-05	QSER1	chr11:32948702-32956981	1.041983892	-2.088225454	0.023826401	Down	hsa_circ_0021570
WDR45B	circ_91867	-0.313344987	0.000131233	QSER1	chr11:32948702-32956981	1.041983892	-2.088225454	0.023826401	Down	hsa_circ_0021570
SH3GLB1	circ_69244	0.392083127	1.17E-06	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
NFE2L2	circ_69244	0.409609804	3.43E-07	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
CAPN10	circ_69244	-0.316347316	0.00011211	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
ATG4B	circ_69244	-0.32683491	6.38E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
MTMR14	circ_69244	-0.303759055	0.000214594	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
RAB7A	circ_69244	0.341539716	2.80E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
EIF4G1	circ_69244	-0.365793374	6.53E-06	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
TP63	circ_69244	0.328068821	5.96E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
RAB24	circ_69244	-0.309486748	0.000160281	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
RACK1	circ_69244	-0.362597055	7.96E-06	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
HSP90AB1	circ_69244	-0.337996713	3.42E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
WDR45	circ_69244	-0.360486722	9.07E-06	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
BNIP3L	circ_69244	0.386575889	1.70E-06	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
TSC1	circ_69244	-0.312300502	0.00013857	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
CTSD	circ_69244	-0.316820669	0.000109344	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
ATG13	circ_69244	-0.315372983	0.000118011	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
ATG2A	circ_69244	-0.35594638	1.20E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
HSPB8	circ_69244	0.339400841	3.16E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
CAMKK2	circ_69244	-0.313884976	0.000127584	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
FOXO1	circ_69244	0.432975618	5.96E-08	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
TM9SF1	circ_69244	-0.343750705	2.46E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
ULK3	circ_69244	-0.421112072	1.47E-07	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
MLST8	circ_69244	-0.404611986	4.91E-07	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
BIRC5	circ_69244	-0.328498063	5.83E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
HGS	circ_69244	-0.326989906	6.33E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
P4HB	circ_69244	-0.396653891	8.58E-07	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
BCL2L1	circ_69244	-0.326909002	6.36E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
EEF2	circ_69244	-0.379261134	2.76E-06	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
ATG4D	circ_69244	-0.341467662	2.81E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
ARSA	circ_69244	-0.333432045	4.43E-05	PHF21A	chr11:46098304-46113774	3.103257795	-1.922282411	0.011794585	Down	hsa_circ_0000296
CFLAR	circ_37884	-0.325882045	6.72E-05	RAB6A	chr11:73418464-73431944	1.602247402	-1.083888013	0.032242156	Down	hsa_circ_0003908
NAF1	circ_37884	-0.310079657	0.000155458	RAB6A	chr11:73418464-73431944	1.602247402	-1.083888013	0.032242156	Down	hsa_circ_0003908
SUPT20H	circ_37884	-0.30371575	0.000215063	RAB6A	chr11:73418464-73431944	1.602247402	-1.083888013	0.032242156	Down	hsa_circ_0003908
VMP1	circ_37884	-0.354152438	1.33E-05	RAB6A	chr11:73418464-73431944	1.602247402	-1.083888013	0.032242156	Down	hsa_circ_0003908
GAPDH	circ_65952	0.307779621	0.000174955	PICALM	chr11:85718584-85742653	1.245108902	-1.461868677	0.025332091	Down	hsa_circ_0023936
SIRT2	circ_65952	0.322402082	8.12E-05	PICALM	chr11:85718584-85742653	1.245108902	-1.461868677	0.025332091	Down	hsa_circ_0023936
PTEN	circ_97249	0.304205252	0.000209815	FAT3	chr11:92085261-92088570	5.172293636	-2.464852769	4.36E-08	Down	hsa_circ_0000348
HSPB8	circ_97249	0.669719943	4.40E-20	FAT3	chr11:92085261-92088570	5.172293636	-2.464852769	4.36E-08	Down	hsa_circ_0000348
FOXO1	circ_97249	0.306514848	0.000186622	FAT3	chr11:92085261-92088570	5.172293636	-2.464852769	4.36E-08	Down	hsa_circ_0000348
ZFYVE1	circ_97249	0.341284622	2.84E-05	FAT3	chr11:92085261-92088570	5.172293636	-2.464852769	4.36E-08	Down	hsa_circ_0000348
EEF2K	circ_97249	0.328319358	5.88E-05	FAT3	chr11:92085261-92088570	5.172293636	-2.464852769	4.36E-08	Down	hsa_circ_0000348
